Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
165617,75914873,G,15.365,13.1114,-7.86902,-1.49725,15.2915,-0.0977576,-0.540541,-1,G,32.3704,-13.4156,17.3311,-23.822,21.9168,-0.941525,2.22953,-1,39.3444
165617,76597028,G,33.6151,-10.5497,-27.0138,16.9978,29.0007,0.556885,-1.94311,1,G,26.4179,-7.27927,24.6214,-6.22072,25.6749,-0.239978,1.85826,1,56.2515
165617,80396562,G,18.6383,2.62083,-17.2386,6.583,17.4367,0.369099,-1.41992,1,G,26.9482,-19.3623,18.1333,-4.74076,26.5277,-0.177772,2.38896,1,42.3515
165617,86139618,G,37.1056,12.5361,10.9606,-33.1591,16.652,-1.43974,0.718447,-1,G,18.1239,7.47426,-16.317,-2.52084,17.3169,-0.139941,-1.14176,-1,36.7169
165617,92292198,G,24.5469,3.1693,-15.5035,18.7653,15.8241,1.0069,-1.36915,-1,G,44.2627,4.25445,31.366,30.9395,31.6532,0.865339,1.43598,-1,44.2433
165617,92140777,G,19.0828,-15.311,4.30744,-10.5434,15.9054,-0.621995,2.86735,-1,G,21.8566,11.544,-10.2723,-15.457,15.4526,-0.881571,-0.727169,-1,30.8262
165617,94212340,G,40.4388,-11.4733,9.76369,37.5276,15.0654,1.64387,2.43652,-1,G,30.1036,22.8447,-6.13176,-18.6209,22.7487,-0.722515,-0.262558,-1,66.9049
165617,96375401,G,38.943,-12.4831,18.0291,32.1818,21.9289,1.17663,2.17639,1,G,34.0026,20.7663,-26.8133,2.44425,33.9145,0.0720089,-0.911814,1,63.0581
165617,97870720,G,42.3091,-13.3701,-16.6412,36.5288,21.3469,1.30648,-2.24763,-1,T,30.6338,-10.2199,-11.3245,26.5656,15.2542,1.32168,-2.30497,-1,1.09154
165617,98845373,G,18.3266,13.6031,-12.1289,1.92367,18.2251,0.105355,-0.728168,1,T,31.0725,23.8181,-19.5254,4.11675,30.7984,0.133273,-0.686679,1,1.20474
165617,98540983,G,50.2248,-47.4848,-16.2594,-1.82817,50.1914,-0.0364159,-2.81169,1,T,47.76,-44.6381,-15.316,-7.33923,47.1926,-0.154896,-2.81106,1,5.77364
165617,106617185,G,35.8357,14.6029,13.2311,-29.9313,19.7055,-1.20522,0.736153,1,G,33.0146,-20.2418,-24.725,8.30031,31.954,0.256922,-2.25682,1,64.098
165617,109654027,G,59.668,-37.6088,12.9691,-44.4706,39.7821,-0.962304,2.80952,1,G,24.9722,22.9096,-9.67452,2.27007,24.8686,0.0911563,-0.399574,1,71.8064
165617,113056855,G,42.8026,23.7685,11.7879,-33.588,26.531,-1.05754,0.460401,-1,G,85.0368,-74.1816,-34.9606,-22.4963,82.007,-0.270993,-2.70118,-1,100.593
165617,114078440,G,42.1635,34.05,11.8585,21.8567,36.0559,0.574126,0.335129,-1,G,26.0818,-22.8857,-3.01726,12.1404,23.0837,0.504282,-3.01051,-1,57.4351
165617,116433496,G,69.4854,-10.5226,-45.7452,-51.2335,46.9398,-0.944598,-1.79689,-1,G,46.1173,8.74621,34.5843,-29.2271,35.6731,-0.747671,1.32309,-1,82.2336
165617,124487150,G,33.7048,15.1644,-2.86207,-29.9641,15.4322,-1.41724,-0.186541,1,G,70.7083,18.9259,7.29665,67.7365,20.2837,1.92065,0.367978,1,91.0689
165617,125267691,G,66.956,-9.04779,18.542,-63.698,20.6317,-1.84572,2.02477,-1,G,18.5278,-2.333,-16.428,-8.24293,16.5928,-0.478327,-1.71187,-1,44.699
165617,128341617,G,57.3292,1.33137,-25.502,-51.3274,25.5367,-1.44807,-1.51864,1,G,39.0162,-10.0962,29.2982,23.7052,30.989,0.705069,1.90265,1,91.8053
165617,131781397,G,41.211,16.8158,4.06197,-37.404,17.2995,-1.51388,0.237016,-1,G,25.4352,-16.1249,-4.78045,19.0807,16.8186,0.973357,-2.85338,-1,64.07
165617,134683487,G,59.6597,1.17256,19.3401,56.4257,19.3756,1.79031,1.51024,-1,G,42.4708,-1.97634,-26.1585,33.4003,26.233,1.06202,-1.64621,-1,48.1122
